Name,GB%,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,SwStr%,F-Strike%,K%,BB%,Pitches,IP
Chad Bettis,48.5,27.1,64.9,64.8,88.7,41.7,8.6,62.2,16.4,9.6,1709,106.1
David Hess,36.0,29.7,73.3,73.4,89.0,44.6,8.0,63.3,14.2,8.9,1143,69
Sonny Gray,47.7,28.5,63.3,57.1,88.9,40.6,10.1,57.4,21.2,9.9,1792,103.2
Sal Romano,44.7,29.2,65.7,67.0,91.8,44.5,7.8,57.5,16.5,8.5,2115,126.1
Bartolo Colon,41.8,32.2,63.9,82.4,92.9,42.8,5.2,64.3,12.4,4.2,2064,135.1
Felix Hernandez,44.8,30.3,65.4,67.5,90.9,41.5,8.2,61.7,18.1,8.3,2158,130
Dylan Covey,54.3,25.0,65.8,69.5,90.7,46.7,6.9,61.1,16.3,9.8,1504,87.1
Lucas Giolito,43.1,25.5,64.0,64.7,88.4,43.3,8.3,55.0,15.8,12.0,2370,137.2
Jason Hammel,37.3,32.1,67.0,68.8,90.1,44.3,8.5,66.0,14.0,6.6,1667,102.1
Jaime Garcia,42.0,26.6,65.7,59.5,92.0,41.1,8.5,53.7,19.9,11.0,1071,61.1
Domingo German,39.4,34.2,65.8,52.7,81.0,42.2,14.6,61.1,25.9,8.5,1134,67
Homer Bailey,40.6,31.0,70.1,65.6,91.3,47.3,8.5,61.4,15.2,7.1,1532,91.1
Jeff Samardzija,29.9,28.5,69.7,72.9,88.1,38.9,8.0,55.1,14.5,12.6,805,44.2
Drew Pomeranz,38.5,27.5,66.0,70.2,92.7,37.4,7.0,52.9,18.3,13.3,993,51.1
Eric Skoglund,42.0,32.0,69.9,69.2,91.5,42.4,8.2,61.3,18.0,6.5,792,49.2
Martin Perez,50.6,30.1,66.6,72.8,93.7,40.4,6.6,59.3,12.5,8.2,1066,63.2
Jason Vargas,37.8,32.7,62.5,65.4,85.3,40.1,10.5,61.8,17.3,8.5,1031,58.2
Matt Moore,38.0,30.4,68.6,64.7,88.0,46.4,9.6,64.5,14.7,9.3,1043,55
