GB%,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,SwStr%,F-Strike%,K%,BB%,Pitches,IP
45.9,36.0,63.6,62.4,86.3,43.8,11.4,65.1,27.9,5.0,3295,215
44.5,34.3,66.1,54.3,86.7,44.3,12.6,62.4,26.4,6.6,3189,215
42.9,28.8,62.8,53.2,87.1,49.6,10.8,65.7,24.5,4.2,3460,229.1
49.0,25.9,60.7,50.9,86.1,50.4,10.5,59.5,23.4,9.3,3324,200.2
34.3,33.4,70.5,65.6,86.4,49.5,10.5,58.8,22.5,5.8,2132,134.2
36.2,29.9,68.2,67.7,89.0,47.5,8.6,59.3,19.8,6.8,3501,223.1
36.7,30.3,67.1,62.6,81.5,47.8,11.8,63.3,27.9,7.0,3638,220.1
30.9,16.9,73.2,62.4,87.5,55.0,7.9,58.3,16.3,6.9,3350,206
42.6,18.5,71.9,63.6,85.1,53.6,8.8,60.7,18.8,7.6,2287,143
43.1,31.6,65.1,72.0,88.4,49.0,8.2,64.2,21.2,3.6,3410,223
41.6,29.6,67.2,64.4,86.5,42.7,9.9,57.6,20.7,7.2,3657,228.2
58.5,26.9,65.2,68.6,92.1,45.0,6.9,55.5,13.9,8.6,1782,111.1
45.0,33.0,62.5,69.4,87.7,53.3,8.8,71.6,24.4,3.3,3099,211
52.2,33.0,66.2,64.8,88.7,46.3,9.7,59.9,19.5,8.3,1916,125.1
45.1,34.4,64.0,63.7,87.7,44.8,10.4,63.7,21.2,6.6,3239,210.2
44.2,29.1,62.2,55.7,84.9,44.9,11.3,62.3,30.2,7.4,2607,159.1
47.9,22.6,65.1,44.5,84.5,53.7,11.2,63.3,30.2,7.8,2946,182
45.8,24.7,69.2,43.1,79.9,52.1,13.8,60.1,24.2,8.4,1741,108
54.9,31.8,65.6,55.8,89.0,40.8,11.2,54.2,23.6,8.7,1981,125
59.4,25.6,66.6,52.2,89.0,51.5,9.6,60.4,14.8,7.0,2008,142
42.5,35.7,65.8,66.4,88.8,42.5,10.0,64.6,20.2,3.5,3774,238.1
48.4,36.9,64.8,52.7,83.6,35.0,15.1,63.1,30.8,6.1,2529,161.2
45.1,23.4,71.0,53.4,86.6,54.1,10.1,63.5,14.6,5.6,2863,192.2
41.9,30.4,67.1,71.8,88.4,55.9,8.2,69.8,22.0,2.1,2980,212.1
39.4,30.0,66.8,69.7,89.5,51.1,8.0,63.4,18.7,4.7,2464,161.1
50.7,31.1,63.6,64.3,88.1,45.9,9.4,57.6,20.3,7.6,3587,237.2
53.4,27.7,63.9,58.6,90.9,45.0,8.9,60.7,20.5,7.0,2500,164
53.0,26.0,66.8,63.7,87.9,56.8,8.6,66.9,16.9,6.6,3303,212
42.5,28.2,68.9,68.2,85.0,45.6,9.6,59.9,20.5,7.5,3033,195
57.5,28.4,68.1,57.4,92.2,52.9,8.4,62.6,15.1,3.9,3047,220
41.6,29.8,69.0,71.3,82.7,48.8,10.2,64.4,21.0,7.4,1694,107
47.6,28.2,69.3,66.9,83.6,46.8,10.3,61.4,20.3,8.8,2985,183
39.2,24.5,67.2,64.9,91.2,51.5,7.2,62.3,12.7,6.9,2711,177.1
41.5,23.8,67.8,29.8,80.2,47.7,15.2,55.4,30.0,11.3,3542,211
37.8,31.6,70.2,69.3,83.1,46.8,10.6,65.4,22.0,5.8,2885,185.2
44.6,28.0,72.8,56.5,78.1,48.0,14.0,61.9,27.7,8.5,3606,225
45.4,20.6,64.2,54.7,86.1,53.4,9.1,61.0,18.4,5.9,3571,233.1
40.4,28.3,66.6,71.9,89.2,45.2,7.6,65.0,21.6,6.0,3282,208
46.8,34.4,62.7,57.7,85.1,40.6,12.4,62.4,26.8,5.6,3163,202.1
40.6,17.6,71.2,45.0,83.1,57.7,11.0,63.6,20.1,7.4,3207,210.2
45.9,21.2,61.9,47.9,89.6,52.8,8.6,57.0,16.7,6.3,1951,132
39.1,30.8,69.1,65.3,85.7,45.9,10.3,61.6,22.0,5.4,2971,188
55.1,28.6,66.0,70.3,89.0,48.5,7.8,56.9,17.4,7.2,3460,216
47.5,26.3,66.4,64.7,89.5,50.7,8.1,58.1,17.4,7.6,3309,210.1
46.0,29.9,65.7,65.2,87.8,48.0,9.3,62.6,22.6,5.5,3202,204.2
35.0,30.8,64.9,63.7,87.7,45.6,9.7,64.5,22.1,5.6,3126,204.2
39.5,30.4,65.7,70.0,87.5,45.3,8.7,66.0,19.0,4.8,2122,137.1
45.2,33.2,65.1,65.4,88.9,43.7,9.6,62.6,19.2,4.7,3632,227
45.0,27.4,66.8,52.1,84.8,53.4,11.5,63.2,21.4,3.8,3581,241
40.6,13.5,67.7,54.4,87.8,50.0,7.2,44.8,15.6,12.9,3246,173.2
46.3,23.5,62.7,50.8,82.5,49.6,11.2,52.6,24.6,11.1,3386,196
51.1,28.3,62.8,60.5,90.5,46.7,8.7,58.1,18.5,6.5,3549,235
46.8,30.0,65.6,67.0,87.6,44.1,9.1,58.1,19.2,7.2,2103,128.2
45.3,30.2,66.3,81.4,92.9,44.9,5.1,60.3,12.3,6.3,1731,114.2
49.1,29.7,67.1,63.4,88.9,46.7,9.3,63.8,21.3,6.0,1727,117.1
46.5,27.2,63.4,56.1,88.4,45.4,9.8,57.1,24.8,8.3,2109,125.2
45.1,29.9,69.8,51.7,86.6,55.6,11.6,66.1,21.5,5.5,2931,192.2
56.7,28.2,66.9,61.6,91.0,43.8,8.7,61.7,17.9,6.3,3204,215
41.3,26.7,67.4,70.1,87.9,56.5,8.1,65.4,18.7,4.4,3533,231.2
44.5,8.7,65.7,65.6,91.5,55.6,4.4,52.7,9.0,6.4,3269,203.2
37.3,31.1,68.2,73.7,88.7,41.9,8.0,61.3,16.5,7.6,2552,159
46.1,31.6,63.9,52.4,83.8,47.2,12.8,64.1,29.0,7.6,3449,212
41.8,27.1,70.1,40.4,80.8,59.7,14.6,70.7,31.1,3.2,3722,259.1
49.3,27.7,61.4,62.7,89.8,43.2,8.5,52.9,20.1,10.8,3370,200.2
50.3,25.2,65.2,61.4,85.8,49.2,9.4,63.0,22.3,6.8,3284,209
39.6,24.4,67.9,72.1,88.4,51.9,7.4,62.9,18.6,6.7,3286,214.1
44.4,15.8,67.6,55.6,85.1,59.2,8.8,61.9,19.9,7.3,3338,217
42.0,25.7,69.8,43.0,84.9,51.1,12.5,59.3,26.7,8.5,2434,144.2
36.6,31.4,64.8,64.8,86.8,46.5,9.9,62.5,21.5,6.8,2592,153
35.7,29.5,68.5,57.6,80.3,50.1,13.0,65.5,25.7,6.1,3734,230.2
46.5,32.8,67.3,57.8,85.0,42.5,12.2,64.3,27.5,5.1,2380,150
46.2,30.4,64.6,58.1,88.7,46.2,10.2,65.9,18.7,5.9,3199,211
60.3,27.2,58.3,58.9,88.7,49.1,8.9,59.2,17.3,5.3,3137,211
46.8,19.8,67.3,52.7,86.9,54.6,9.1,60.5,16.8,6.7,3095,194.1
40.5,29.3,60.4,73.7,88.8,49.6,7.2,67.2,15.6,5.1,1652,111
53.6,28.9,64.0,59.6,86.5,43.3,10.3,58.8,26.1,9.6,3357,208
34.9,31.2,68.5,69.1,88.7,43.9,8.8,66.1,17.7,8.1,1686,105.1
58.4,27.8,67.8,53.8,88.6,55.0,10.1,63.7,19.1,3.0,3627,266
47.6,31.6,68.7,68.1,89.2,48.5,8.8,66.9,18.6,4.6,3083,213.1
52.9,30.6,61.9,73.2,90.6,46.2,7.1,61.9,17.8,7.4,2153,138.1
40.3,31.1,66.9,62.1,82.8,44.3,11.7,65.2,24.0,8.2,2547,157.2
37.7,35.0,66.8,71.8,91.6,40.8,8.1,59.1,17.6,6.2,1533,102.1
51.6,26.1,68.1,55.8,84.6,52.8,11.0,60.7,16.3,5.6,2820,196.1
40.5,22.1,70.8,52.7,84.2,60.2,10.9,68.9,22.3,3.9,3410,226.2
48.3,32.3,66.8,61.6,86.9,49.2,10.6,65.0,22.8,4.9,1716,113.1
62.9,29.3,62.1,62.4,92.4,45.9,8.1,58.8,17.2,7.3,1715,116
61.5,29.7,60.6,49.1,85.8,42.4,12.3,57.7,25.8,10.2,3229,196
41.2,32.1,66.6,67.0,84.2,48.4,10.6,69.9,26.9,3.8,3730,248.1
50.0,17.2,66.9,40.2,86.0,54.7,9.7,57.5,22.2,9.5,3562,223.1
38.3,21.6,65.6,61.6,87.4,49.8,8.3,58.4,14.4,7.4,3447,215
30.8,31.5,65.7,71.1,82.5,40.3,10.1,59.9,18.5,5.8,2396,154.1
27.7,32.7,64.2,78.9,88.1,46.4,7.2,66.5,15.7,7.2,1962,121
47.3,24.8,62.7,57.1,88.0,54.8,8.9,62.7,23.6,4.9,3100,200.2
44.5,19.2,69.2,36.9,89.5,58.8,9.4,64.0,17.0,5.6,2129,134.2
41.0,33.2,67.6,60.5,83.0,48.3,12.3,69.7,28.0,6.0,2595,159.1
46.6,26.7,63.1,57.5,83.2,40.8,10.9,55.1,23.7,10.5,2304,137.1
53.4,15.3,72.6,54.8,87.2,59.8,8.3,65.4,14.9,6.2,3042,206
50.8,28.3,65.1,74.9,86.8,52.5,7.9,63.1,15.3,6.2,3132,208.2
43.9,29.2,57.2,64.4,91.8,49.7,7.6,63.3,18.8,7.7,2000,129
41.2,32.4,69.4,64.5,88.0,42.7,10.1,64.1,19.3,7.1,3235,211.1
44.6,15.5,72.7,38.6,82.9,56.7,11.1,59.2,20.9,9.0,2571,164.2
51.4,20.1,71.3,48.7,86.9,52.8,9.8,57.8,17.6,9.1,3201,197.1
41.9,30.3,65.2,56.8,92.1,44.5,9.5,58.8,20.7,5.9,1968,123.1
46.1,13.1,63.6,55.2,87.9,55.3,6.8,57.8,20.4,9.0,2984,186.1
45.2,31.0,68.8,48.3,84.8,47.0,13.4,63.0,28.3,5.8,3058,200
38.8,32.8,64.9,61.9,85.5,44.8,11.1,61.4,27.8,7.9,2358,139.2
45.2,30.8,64.5,72.5,86.4,41.4,8.6,59.9,19.5,7.3,2159,131.1
49.0,28.5,62.0,71.0,87.7,48.2,8.0,61.8,15.2,6.7,3247,213.1
38.2,23.0,62.2,55.2,89.4,54.3,8.2,63.3,18.6,6.5,3852,240.2
39.4,27.1,64.8,64.1,85.3,43.4,9.6,50.9,22.3,11.8,2621,150.1
64.4,29.2,60.5,51.1,90.3,49.0,10.1,64.1,19.4,6.9,3358,226.2
45.2,26.8,66.3,54.9,87.3,51.4,10.2,57.3,16.2,9.0,2041,131
56.5,30.1,62.5,54.3,88.8,43.8,10.7,62.4,26.1,8.4,3021,191
49.5,29.4,59.9,79.2,92.1,42.6,5.4,59.5,12.7,7.1,1875,120
43.9,25.9,63.7,66.5,85.6,43.4,8.9,58.4,25.0,10.3,3163,182.2
39.3,20.3,65.0,57.8,88.5,51.0,8.1,53.8,15.3,9.2,3752,231.2
42.8,19.6,72.6,40.1,80.7,51.9,12.9,56.4,24.1,10.7,3265,204.1
40.7,23.3,68.8,47.4,84.8,50.0,11.4,54.2,21.3,8.7,2661,160.2
41.0,22.1,62.0,52.8,87.5,48.9,9.1,52.5,22.6,10.3,2518,147
46.6,33.7,66.9,66.0,88.6,38.0,10.0,61.5,18.2,5.2,3202,201.1
47.8,25.4,66.6,46.8,88.9,55.8,10.1,62.5,19.7,6.4,1954,122.1
37.3,17.2,67.3,49.0,84.0,55.8,9.8,58.8,15.8,5.4,3447,230.2
43.2,28.7,64.8,64.1,85.4,43.3,9.9,60.3,23.5,9.3,3080,173.2
36.9,29.2,60.7,59.9,81.5,50.0,11.5,62.1,30.1,8.9,2224,135.2
33.3,18.0,67.9,48.1,79.1,56.7,12.1,56.4,30.3,7.8,2027,116.2
46.3,35.0,65.7,61.2,87.0,43.6,11.3,63.8,23.5,7.5,3192,198
45.0,32.5,66.9,62.0,88.1,41.1,10.5,59.2,20.5,7.9,1984,119.1
52.3,31.4,67.2,67.1,86.2,38.2,9.9,58.8,18.7,5.7,3330,219.2
49.6,35.0,68.0,60.9,85.1,40.5,12.2,57.6,23.6,9.1,3253,200.2
54.8,29.4,65.0,65.9,90.5,41.4,8.4,60.6,16.1,9.6,1601,100.1
48.5,36.1,66.7,60.1,86.7,42.7,12.0,61.8,25.0,5.7,2247,146.1
46.2,31.1,64.3,61.4,84.4,44.3,11.1,56.3,26.5,9.3,2841,170.2
46.7,33.5,66.0,72.9,90.0,51.3,7.8,61.2,17.8,3.6,2499,170.2
42.8,27.6,68.2,61.8,82.9,51.7,11.1,60.5,19.8,7.1,3144,195
40.8,34.5,70.1,68.7,86.3,45.6,10.3,66.7,22.4,4.4,1666,111
44.7,28.3,63.6,63.5,90.6,46.0,8.3,66.5,21.5,6.3,3346,200.1
44.9,31.1,65.3,73.3,88.3,47.0,8.0,67.7,20.4,3.7,2707,186.2
45.0,36.4,66.9,49.1,86.9,42.7,14.4,64.1,27.9,4.9,2195,143.1
43.3,33.4,67.2,70.2,89.8,45.8,8.5,60.0,17.8,4.6,3002,194.2
46.5,28.4,61.4,60.5,88.7,44.4,9.3,57.5,21.1,8.8,3160,194.2
38.0,27.5,72.2,52.0,79.6,55.6,14.1,65.4,26.8,5.9,3345,219
62.0,24.4,65.2,50.0,91.6,53.3,8.5,61.3,14.3,5.7,3165,224.1
41.8,28.9,64.1,66.9,88.2,46.0,8.6,62.5,20.5,6.6,3272,202.2
43.6,26.7,64.3,65.0,89.6,42.5,8.1,53.2,20.5,12.1,2284,129.2
36.7,22.0,68.2,38.6,88.8,58.2,10.1,61.8,22.3,4.0,2298,156.2
43.7,25.6,66.3,70.4,78.1,46.1,10.8,55.0,19.4,8.7,2496,156.2
55.6,14.7,63.5,41.4,85.4,55.6,8.9,58.4,24.0,8.8,1721,105.1
44.2,30.4,62.9,54.7,89.8,51.5,9.9,66.1,23.4,4.5,3339,216
41.2,33.3,66.3,65.4,83.2,47.7,11.3,62.2,25.7,5.0,3431,226.2
48.9,30.5,67.0,62.2,87.1,40.6,10.4,61.0,25.0,5.7,3185,205
40.5,31.8,70.1,73.6,87.3,49.8,8.6,68.4,19.3,5.2,3010,191.1
40.6,25.8,69.2,75.1,88.9,45.6,7.0,57.6,17.2,7.6,3411,207.1
41.0,33.0,67.5,58.3,87.1,45.1,11.5,68.1,24.1,7.1,2853,188.1
37.3,31.5,68.8,68.2,85.1,45.3,10.1,60.4,21.4,6.6,2755,169.1
40.2,29.6,64.4,70.9,91.0,44.8,7.3,65.9,15.5,4.5,3013,198.2
49.2,23.0,57.4,68.0,89.4,45.5,6.8,54.1,20.0,10.9,3441,204
60.9,32.8,64.4,63.4,90.1,44.9,9.5,60.8,18.7,5.1,1576,102
43.9,30.5,65.7,68.7,85.7,40.5,9.5,60.8,23.4,9.3,3315,195.2
47.1,30.7,65.5,64.3,88.9,45.6,9.2,69.3,20.5,5.1,3373,206.1
49.8,31.4,64.6,64.4,86.8,46.1,10.0,60.2,21.8,11.3,1706,101.2
33.5,31.9,70.3,65.3,85.4,44.8,10.7,61.6,25.8,8.5,3531,206
42.9,28.3,67.2,56.0,85.0,49.6,11.2,58.2,21.0,7.1,3587,230
55.3,33.1,60.8,46.6,88.8,40.3,13.3,60.8,26.3,8.5,2436,155
45.7,18.1,71.7,57.4,87.2,53.6,8.4,59.8,14.2,9.3,2853,173.2
43.5,28.6,65.1,73.2,88.6,42.3,7.5,60.9,20.1,7.9,3056,189.2
48.7,30.2,64.7,72.7,91.8,43.8,6.9,58.8,15.2,6.0,2911,192.1
48.5,24.3,54.9,79.0,91.2,55.9,4.9,67.6,18.3,3.8,3135,200.1
47.9,30.7,66.9,62.0,90.3,46.5,9.2,62.3,22.5,5.8,3269,208.1
36.5,34.0,66.9,69.8,87.2,42.7,9.5,63.2,22.0,5.6,3486,219
41.0,31.0,64.5,68.9,86.0,45.2,9.3,62.9,23.7,7.7,3746,224.1
34.6,31.3,69.1,70.1,84.5,45.2,10.0,63.9,21.1,6.0,2150,133.1
45.8,32.4,70.2,72.5,85.3,48.0,9.5,63.3,20.1,7.6,2937,181.1
26.8,31.5,69.7,79.1,87.8,45.0,7.4,60.8,14.1,7.2,2131,128
48.2,34.3,65.2,62.3,84.7,44.4,11.6,63.0,23.7,5.3,3028,200
47.4,30.5,64.0,69.2,87.4,44.3,8.8,61.7,22.0,4.6,2443,152
52.4,33.1,70.1,68.7,92.2,41.4,8.3,61.7,20.3,4.1,1550,104
42.6,31.4,69.3,64.1,88.4,41.0,10.0,59.0,19.9,7.1,2931,181.1
51.2,32.4,64.8,51.0,82.3,35.8,14.3,57.6,26.5,9.1,2983,186.2
42.7,19.5,66.9,39.8,86.1,55.3,10.4,60.0,22.8,8.0,2806,178.2
57.8,28.2,62.6,65.1,89.5,43.3,8.4,59.8,18.5,10.2,2075,130.2
62.5,19.7,68.0,59.2,90.0,53.5,7.4,57.7,13.0,6.8,3144,215.2
43.5,30.6,65.0,60.4,86.6,44.6,10.6,60.8,21.3,7.3,2748,173
54.4,32.9,62.3,52.5,83.6,34.8,13.7,55.7,25.3,11.7,2714,162.1
46.2,31.8,63.7,71.5,89.4,50.3,7.9,61.5,14.4,4.9,2356,162.1
33.3,32.4,68.2,74.9,88.2,44.6,8.1,62.3,16.1,4.5,2436,154.1
43.5,29.3,63.3,61.6,91.3,46.2,8.6,62.7,18.8,7.6,3453,228.2
43.8,24.7,69.5,69.3,88.7,48.2,7.7,59.0,17.3,8.9,1696,106.1
47.5,24.5,65.1,69.7,83.7,47.5,8.9,60.6,18.9,9.0,3406,207.1
43.7,29.4,65.9,78.2,90.6,42.8,6.3,59.0,13.9,5.4,3082,202
41.9,29.4,70.8,51.1,81.4,55.7,13.6,60.3,23.8,5.8,2791,183.1
43.1,29.8,61.6,61.4,86.8,45.6,9.9,60.6,19.5,7.9,2330,151.1
37.2,22.7,69.8,46.3,81.9,49.7,12.3,52.9,20.8,10.9,3468,220.1
44.4,27.9,58.7,62.7,91.0,43.0,8.2,59.8,20.6,9.3,3651,212.1
51.1,34.4,66.3,62.1,87.3,41.6,10.9,58.9,19.6,5.9,3028,196.1
41.4,28.7,61.4,77.3,91.4,45.1,6.0,68.0,14.3,5.4,2804,188.1
47.5,28.5,64.8,72.3,88.8,44.9,7.6,56.0,16.3,7.4,3016,185.2
50.8,31.1,66.6,75.3,89.6,44.8,7.4,60.5,15.3,7.6,2541,164.1
40.8,23.0,68.6,49.7,88.7,55.2,9.5,63.9,22.8,4.7,3238,214.2
49.5,36.4,68.4,51.2,86.2,40.3,14.4,56.1,24.5,4.9,1603,100.2
51.1,28.1,64.4,63.4,85.4,51.5,9.8,64.9,23.6,5.7,2153,132.1
48.6,25.7,66.8,74.9,91.6,45.9,6.1,58.5,12.2,9.1,2636,166.2
44.0,27.4,63.5,57.5,83.5,50.1,11.0,59.1,19.7,8.1,3041,195.2
48.3,32.7,62.8,75.2,87.9,47.0,7.9,62.7,19.7,6.2,3029,190.1
47.7,27.6,64.2,70.1,90.4,48.8,7.2,63.1,17.6,5.7,2792,187.2
46.9,19.3,66.4,53.8,84.9,50.7,9.4,57.3,22.9,12.5,3626,214
42.6,34.8,67.0,58.0,78.2,45.1,14.6,67.3,32.1,4.9,3323,208.2
47.7,26.4,66.7,51.7,86.0,47.8,11.1,54.5,26.7,7.6,3404,203.1
50.0,28.4,71.1,49.5,87.6,51.5,11.5,61.4,17.3,6.5,1517,100.1
40.4,32.2,66.2,59.3,81.8,44.8,12.6,58.2,31.7,7.5,1579,100.1
46.6,24.9,65.5,66.3,91.0,49.1,7.2,59.0,12.8,6.6,3004,198
46.7,34.7,64.5,60.5,88.8,46.4,10.7,70.2,20.7,6.3,3082,208.1
49.3,25.5,65.1,74.5,89.9,41.8,6.5,59.0,15.3,8.6,3226,184.1
42.3,16.8,73.9,47.9,84.2,50.7,10.2,57.3,14.9,12.0,2898,179
43.2,28.5,65.3,69.1,85.8,43.9,9.0,52.0,19.5,10.7,1728,100
40.8,31.4,68.5,61.2,89.4,46.5,9.9,63.4,21.1,7.2,3281,213
38.6,25.2,64.4,67.9,85.4,50.4,8.7,59.9,15.2,9.5,1947,118.1
50.1,15.2,63.2,50.2,86.1,57.8,8.2,60.8,19.2,7.2,3208,210.1
45.7,31.7,62.4,81.9,93.9,52.5,4.7,67.5,14.3,3.6,2141,152.1
43.2,30.6,63.3,79.0,92.7,49.7,5.5,63.2,16.2,4.1,2853,191.2
33.0,31.8,63.3,61.8,91.5,46.8,9.0,69.3,21.8,3.3,1627,105
42.6,31.8,66.5,59.9,86.5,44.7,11.0,56.4,20.8,6.5,1708,105
45.7,33.0,64.8,70.2,86.6,45.9,9.3,60.3,19.8,5.8,2097,126
44.0,27.2,69.6,74.7,82.4,40.5,9.0,54.6,19.7,10.1,3151,186.1
50.1,25.8,66.6,70.0,91.2,50.5,6.7,60.7,12.5,6.2,1864,123.1
49.0,34.1,62.4,73.7,90.5,46.1,7.5,64.6,15.4,4.9,3055,204.2
53.2,29.3,63.9,63.4,85.5,43.2,10.0,57.2,22.9,8.5,1932,118
48.9,30.7,63.5,55.9,85.7,46.6,11.3,56.5,25.8,8.5,3437,212.1
48.2,33.4,66.1,72.4,88.7,44.2,8.4,62.1,15.5,6.9,3014,196.1
42.4,34.9,69.4,70.0,86.7,41.6,9.9,63.1,20.3,5.3,3268,212
40.8,32.9,71.3,64.2,86.0,39.7,11.1,61.7,24.8,7.2,1869,104.2
49.2,24.2,66.6,79.4,93.7,60.6,4.5,71.4,9.5,1.2,2294,188.1
39.6,15.9,67.7,50.5,91.1,51.5,6.9,52.5,12.1,10.1,2496,151.2
44.6,22.1,67.1,43.6,86.3,53.4,10.7,65.3,22.3,8.0,3489,209
58.4,21.9,65.2,41.9,86.6,51.1,10.7,56.4,22.7,9.1,3296,209
32.9,30.8,71.2,62.8,86.7,55.1,10.3,60.3,20.1,6.0,2694,172.1
34.9,17.4,74.2,44.4,78.0,55.6,13.4,59.4,25.5,9.5,3032,185.1
36.0,28.9,67.3,58.8,83.4,53.8,11.4,62.1,27.4,6.4,3937,240
58.0,28.6,60.8,60.5,88.4,44.8,9.4,58.5,24.3,9.5,3018,193
46.6,31.3,65.5,62.6,89.6,45.9,9.4,63.7,19.2,5.5,3613,237.1
51.0,32.0,55.3,71.5,87.6,46.2,8.1,62.7,20.4,5.5,2517,161.2
42.0,27.4,62.5,64.3,87.2,48.6,8.9,63.5,21.9,7.9,2400,146
42.3,25.5,68.1,59.5,85.2,49.9,10.2,62.9,26.8,8.3,1575,101.2
45.1,22.3,67.2,54.8,89.3,54.6,8.4,61.6,18.3,9.2,1663,101.2
52.1,27.0,65.7,59.5,89.5,50.4,8.9,60.1,20.4,9.3,3199,200.2
43.9,31.5,69.3,63.9,82.5,47.9,11.8,59.1,25.8,7.0,3048,185
46.3,21.2,63.7,66.0,91.5,51.5,6.3,58.1,10.5,6.4,3013,195.1
40.7,16.7,70.3,39.4,85.6,56.2,10.1,59.0,21.9,6.5,1809,106.2
52.2,20.7,67.0,49.4,87.2,53.7,9.4,61.0,20.4,5.1,2695,182
38.4,32.7,68.1,69.3,83.1,43.5,10.7,65.1,23.5,8.1,3692,218.1
25.4,24.2,68.9,63.2,83.4,52.3,10.2,58.8,22.3,9.4,3028,179.1
38.8,31.3,67.1,74.7,88.4,41.9,7.8,59.8,16.0,5.4,2719,179.1
42.2,31.5,63.1,58.0,85.4,49.5,11.2,65.6,29.6,5.0,2043,127.1
51.9,27.1,65.0,71.9,89.3,43.1,7.3,60.1,16.3,10.4,3253,200
46.8,28.6,61.7,70.7,89.3,47.5,7.5,61.2,15.4,7.5,2962,197.1
50.2,31.9,62.5,65.6,89.0,45.5,9.1,62.9,23.0,7.0,3609,233.2
52.5,23.3,64.9,57.5,84.8,48.1,9.8,55.8,21.7,9.3,3570,218
42.7,23.5,65.8,59.7,85.8,52.5,9.4,62.0,21.5,6.6,3227,202.1
39.8,18.3,69.2,66.7,87.9,54.9,7.3,66.8,16.5,6.1,2185,129.2
39.7,29.2,65.1,62.0,87.8,43.4,9.7,57.5,22.1,6.2,2796,176.1
50.1,18.9,70.7,37.6,87.5,56.7,10.1,64.0,18.5,6.4,3013,207.1
42.8,31.3,62.0,57.7,87.6,42.5,10.8,60.3,23.2,7.8,3149,194.1
44.3,31.5,65.9,65.4,86.6,41.7,10.0,55.3,18.6,8.4,2830,181.1
50.5,29.6,65.2,64.8,89.9,41.0,8.9,58.2,22.8,9.4,3192,191.2
49.2,29.1,61.2,64.8,89.4,41.0,8.7,59.6,23.0,6.2,3383,212.1
41.2,25.5,70.1,71.7,88.5,55.5,7.7,67.0,17.3,4.8,3248,222.2
33.5,28.5,69.1,64.6,82.5,42.0,10.9,58.9,22.8,9.0,2843,176
43.7,20.4,69.2,57.3,85.0,51.6,9.5,55.2,19.8,8.0,3415,204.1
45.6,32.4,64.9,66.3,85.4,45.6,10.2,62.2,21.6,7.5,3271,209.1
43.0,24.8,73.1,68.9,83.8,55.6,10.0,67.0,15.9,2.9,3340,219.2
43.1,24.1,70.1,47.1,83.2,51.9,12.3,57.4,26.9,10.0,3609,206.2
43.9,31.8,64.8,61.0,83.6,42.0,11.6,61.7,25.0,7.0,2930,175.2
30.8,26.3,70.5,58.7,81.7,50.2,11.9,58.7,25.9,10.9,2749,152.1
42.4,35.7,68.5,56.2,85.9,45.9,12.9,63.5,27.7,5.1,3273,222
41.7,31.9,68.2,68.5,85.1,43.8,10.1,59.8,18.4,5.4,3436,222
45.2,30.4,60.9,69.2,87.3,43.2,8.6,62.5,20.5,8.5,3145,191
46.1,34.5,66.0,64.3,86.5,43.7,10.8,64.6,23.4,6.4,3292,209
47.3,29.2,66.8,67.5,86.1,44.0,9.4,60.4,15.7,8.7,2774,167.2
48.9,27.4,65.5,67.3,87.2,45.4,8.7,58.6,21.4,8.9,2743,157.1
44.3,30.6,61.1,73.1,85.7,44.7,8.4,60.0,23.8,6.9,3696,224.1
50.3,31.8,65.9,59.2,85.4,48.2,11.4,61.1,27.3,6.6,2752,175.1
60.5,25.6,64.3,69.8,93.9,52.3,5.7,65.4,12.1,3.1,2954,214
46.3,31.6,67.6,51.8,86.6,51.3,12.0,68.0,22.0,5.7,3535,232
38.3,30.6,67.4,65.8,90.8,44.1,8.6,61.6,17.8,6.4,1645,105.2
38.8,31.1,63.3,53.6,88.2,50.7,10.9,66.7,23.9,5.2,3428,219
42.2,21.3,72.0,57.8,82.6,56.4,10.9,62.8,21.0,6.3,3587,237
40.3,29.7,63.4,66.7,85.5,46.6,9.6,60.0,23.0,8.8,3297,195.2
46.2,26.0,71.3,68.2,91.6,52.8,7.1,59.1,12.8,5.2,3314,221
40.9,30.5,65.3,76.6,87.4,45.8,7.7,62.2,14.5,5.5,2850,192.2
47.0,36.8,65.0,62.6,87.1,43.4,11.4,62.6,22.8,4.4,2290,154
47.6,33.0,68.4,58.2,88.4,35.2,11.7,57.7,22.5,9.5,2512,154
30.5,31.8,64.4,74.2,89.3,45.2,7.6,58.5,20.5,6.2,1613,102.2
36.4,32.1,70.6,61.0,81.3,49.8,12.9,62.2,25.7,5.8,2707,179.2
50.8,26.8,62.4,68.1,92.5,41.0,7.0,57.2,17.9,6.6,3216,192.1
42.5,29.7,66.2,67.6,87.9,43.6,8.9,65.9,19.7,6.7,3335,200
42.4,25.2,61.9,67.9,87.2,57.1,8.0,70.3,21.4,4.4,3038,197.1
56.9,28.2,63.3,51.7,92.1,47.2,9.6,61.1,21.2,7.3,3042,202.1
36.4,29.2,69.0,69.0,86.9,46.1,9.0,58.0,18.2,6.2,2728,169
58.6,18.3,68.1,49.0,89.7,54.9,8.0,58.6,14.1,8.0,2890,192
44.5,19.0,68.0,60.3,88.8,56.2,7.6,61.1,15.7,5.7,3097,199.2
46.6,29.1,62.0,62.8,88.6,41.9,9.2,62.7,23.9,6.8,3462,207.1
